COUNTRY,500G,1KG,1.5KG,2KG,2.5KG,3KG,3.5KG,4KG,4.5KG,5KG
UAE,7.6,8.3,10.9,13.6,16.2,18.9,21.6,24.2,26.9,29.5
Singapore,7.9,9.2,12.4,15.6,18.8,22.1,25.3,28.5,31.7,35
Hong Kong,8.3,9.2,12.3,15.5,18.6,21.8,25,28.1,31.3,34.5
Bahrain,8.3,9.3,12.1,14.9,17.6,20.4,23.2,26,28.8,31.5
Qatar,7.8,10.6,13.4,16.2,19,21.7,24.5,27.3,30.1,32.9
Egypt,8.1,10.9,13.7,16.5,19.3,22.1,24.8,27.6,30.4,33.2
Saudi Arabia,8.7,11.1,13.5,15.9,18.3,20.7,23.1,25.5,27.9,30.3
Jordon,8.7,11.4,14.2,17,19.8,22.6,25.3,28.1,30.9,33.7
India,8.9,11.4,14,16.5,19,21.6,24.1,26.6,29.1,31.7
Indonesia,8.9,11.7,16.1,20.5,25,29.4,33.8,38.3,42.7,47.1
Taiwan,7.6,11.7,15.7,19.8,23.8,27.9,31.9,36,40,44.1
Malaysia,8.7,12.4,16.2,20,23.8,27.6,31.4,35.2,39,42.8
Nepal,8.9,12.7,16.5,20.3,24.1,27.9,31.7,35.5,39.3,43.1
Thailand,10.2,13.3,16.5,19.7,22.8,26,29.1,32.3,35.5,38.6
Pakistan,10.8,14,17.1,20.3,23.5,26.6,29.8,32.9,36.1,39.3
Kenya,11.2,14,16.7,19.5,22.3,25.1,27.9,30.7,33.4,36.2
Bangladesh,11.4,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2
Philippines ,10.8,15.2,19.7,24.1,28.5,32.9,37.4,41.8,46.2,50.6
S. Korea,12.7,15.2,19.7,24.1,28.5,32.9,37.4,41.8,46.2,50.6
Turkey,14.6,15.2,18.6,22.1,25.5,28.9,32.3,35.7,39.1,42.6
Lebanon,12.7,15.2,19,22.8,26.6,30.4,34.2,38,41.8,45.6
Maldives,12.7,15.9,19,22.2,25.3,28.5,31.7,34.8,38,41.2
UK,14,15.9,17.8,19.7,21.6,23.5,25.3,27.2,29.1,31
Cambodia,10.3,16,21.7,27.4,33.1,38.8,44.5,50.1,55.8,61.5
China,9.9,16,22.1,28.1,34.2,40.3,46.3,52.4,58.5,64.6
Iran,14,16.2,18.5,20.8,23.1,25.3,27.6,29.9,32.2,34.5
Bhutan,10.8,16.5,22.2,27.9,33.6,39.3,45,50.6,56.3,62
Ghana,11.7,16.5,21.3,26.1,30.9,35.7,40.5,45.3,50.1,55
Belgium,14,16.7,19.5,22.3,25.1,27.9,30.7,33.4,36.2,39
Spain,14,16.9,19.8,22.7,25.6,28.5,31.4,34.3,37.2,40.2
Oman,13.3,17.1,19.7,22.2,24.7,27.2,29.8,32.3,34.8,37.4
Switzerland ,15.2,17.8,20.3,22.8,25.3,27.9,30.4,32.9,35.5,38
South Africa,14,17.8,21.6,25.3,29.1,32.9,36.7,40.5,44.3,48.1
Italy,13.3,17.8,22.2,26.6,31,35.5,39.9,44.3,48.8,53.2
Greece,14.6,18.4,22.2,26,29.8,33.6,37.4,41.2,45,48.8
Austria,14.6,18.4,22.2,26,29.8,33.6,37.4,41.2,45,48.8
Nigeria,11.4,18.4,24.2,30,35.8,41.7,47.5,53.3,59.1,64.9
Vietnam,12.7,18.8,24.8,30.9,37,43.1,49.1,55.2,61.3,67.3
France,17.1,19,23.8,28.6,33.4,38.3,43.1,47.9,52.7,57.5
Morrocco,15.2,19,22.8,26.6,30.4,34.2,38,41.8,45.6,49.4
Netherland,15.9,19.7,24.1,28.5,32.9,37.4,41.8,46.2,50.6,55.1
Cyprus,15.9,20.3,24.7,29.1,33.6,38,42.4,46.9,51.3,55.7
Kuwait,13.3,20.3,23.6,27,30.3,33.7,37.1,40.4,43.8,47.1
Germany,16.7,20.5,24.3,28.1,31.9,35.7,39.5,43.3,47.1,50.9
Romania,15.9,20.7,25.5,30.3,35.1,39.9,44.7,49.5,54.3,59.1
Australia,14.6,20.7,26.7,32.8,38.9,45,51,57.1,63.2,69.2
Ireland,18.4,20.9,23.5,26,28.5,31,33.6,36.1,38.6,41.2
USA,17.8,20.9,27.9,34.8,41.8,48.8,55.7,62.7,69.6,76.6
Kyrgyzstan,18.4,21.6,28.1,34.5,40.8,47.1,53.4,59.8,66.1,72.4
Iraq,20.9,23.7,26.5,29.3,32.1,34.8,37.6,40.4,43.2,46
Denmark,20.9,24.1,30.2,36.2,42.3,48.4,54.4,60.5,66.6,72.7
Myanmar,20.3,24.7,29.8,34.8,39.9,45,50,55.1,60.1,65.2
Czech Republic,18.4,25.3,32.3,39.3,46.2,53.2,60.1,67.1,74.1,81
Bulgaria,19,25.3,31.7,38,44.3,50.6,57,63.3,69.6,75.9
Syria,22.8,26,29.1,32.3,35.5,38.6,41.8,45,48.1,51.3
Ukraine,17.8,26,33.3,40.7,48,55.3,62.7,70,77.3,84.7
Israel,22.6,26.5,30.4,34.3,38.3,42.2,46.1,50,53.9,57.9
Canada,22.2,26.7,31.3,35.8,40.4,45,49.5,54.1,58.6,63.2
Georgia,19.7,27.9,33.8,39.8,45.7,51.7,57.6,63.6,69.5,75.4
