COUNTRY,500G,1KG,1.5KG,2KG,2.5KG,3KG,3.5KG,4KG,4.5KG,5KG,6KG,7KG,8KG,9KG,10KG,11KG,12KG,13KG,14KG,15KG
United Arab Emirates,8.36,9.13,11.99,14.96,17.82,20.79,23.76,26.62,29.59,32.45,38.06,43.67,44.8,49.28,60.5,66.11,71.72,77.33,82.94,88.55
Singapore,8.69,10.12,13.64,17.16,20.68,24.31,27.83,31.35,34.87,38.5,44.11,49.72,50.3,55.33,66.55,72.16,77.77,83.38,88.99,94.6
Hong Kong SAR China,9.13,10.12,13.53,17.05,20.46,23.98,27.5,30.91,34.43,37.95,44.44,50.93,52.2,57.42,70.4,76.89,83.38,89.87,96.36,102.85
Bahrain,9.13,10.23,13.31,16.39,19.36,22.44,25.52,28.6,31.68,34.65,40.26,45.87,46.8,51.48,62.7,68.31,73.92,79.53,85.14,90.75
Qatar,8.58,11.66,14.74,17.82,20.9,23.87,26.95,30.03,33.11,36.19,42.46,48.73,50,55,67.54,73.81,80.08,86.35,92.62,98.89
Egypt,8.91,11.99,15.07,18.15,21.23,24.31,27.28,30.36,33.44,36.52,43.56,50.6,52.4,57.64,71.72,78.76,85.8,92.84,99.88,106.92
Saudi Arabia,9.57,12.21,14.85,17.49,20.13,22.77,25.41,28.05,30.69,33.33,38.94,44.55,45.6,50.16,61.38,66.99,72.6,78.21,83.82,89.43
Jordan,9.57,12.54,15.62,18.7,21.78,24.86,27.83,30.91,33.99,37.07,43.78,50.49,52,57.2,70.62,77.33,84.04,90.75,97.46,104.17
India,9.79,12.54,15.4,18.15,20.9,23.76,26.51,29.26,32.01,34.87,40.26,45.65,46.4,51.04,61.82,67.21,72.6,77.99,83.38,88.77
Indonesia,9.79,12.87,17.71,22.55,27.5,32.34,37.18,42.13,46.97,51.81,61.6,71.39,73.8,81.18,100.76,110.55,120.34,130.13,139.92,149.71
Taiwan,8.36,12.87,17.27,21.78,26.18,30.69,35.09,39.6,44,48.51,58.3,68.09,70.8,77.88,97.46,107.25,117.04,126.83,136.62,146.41
Malaysia,9.57,13.64,17.82,22,26.18,30.36,34.54,38.72,42.9,47.08,53.35,59.62,59.9,65.89,78.43,84.7,90.97,97.24,103.51,109.78
Nepal,9.79,13.97,18.15,22.33,26.51,30.69,34.87,39.05,43.23,47.41,55.11,62.81,64.1,70.51,85.91,93.61,101.31,109.01,116.71,124.41
Thailand,11.22,14.63,18.15,21.67,25.08,28.6,32.01,35.53,39.05,42.46,50.82,59.18,61.4,67.54,84.26,92.62,100.98,109.34,117.7,126.06
Pakistan,11.88,15.4,18.81,22.33,25.85,29.26,32.78,36.19,39.71,43.23,50.49,57.75,59.1,65.01,79.53,86.79,94.05,101.31,108.57,115.83
Kenya,12.32,15.4,18.37,21.45,24.53,27.61,30.69,33.77,36.74,39.82,46.53,53.24,54.5,59.95,73.37,80.08,86.79,93.5,100.21,106.92
Bangladesh,12.54,15.4,18.04,20.68,23.32,25.96,28.6,31.24,33.88,36.52,41.91,47.3,47.9,52.69,63.47,68.86,74.25,79.64,85.03,90.42
Philippines ,11.88,16.72,21.67,26.51,31.35,36.19,41.14,45.98,50.82,55.66,66.88,78.1,81.2,89.32,111.76,122.98,134.2,145.42,156.64,167.86
South Korea,13.97,16.72,21.67,26.51,31.35,36.19,41.14,45.98,50.82,55.66,65.78,75.9,78.2,86.02,106.26,116.38,126.5,136.62,146.74,156.86
Turkey,16.06,16.72,20.46,24.31,28.05,31.79,35.53,39.27,43.01,46.86,53.9,60.94,61.8,67.98,82.06,89.1,96.14,103.18,110.22,117.26
Lebanon,13.97,16.72,20.9,25.08,29.26,33.44,37.62,41.8,45.98,50.16,56.43,62.7,62.7,68.97,81.51,87.78,94.05,100.32,106.59,112.86
Maldives,13.97,17.49,20.9,24.42,27.83,31.35,34.87,38.28,41.8,45.32,53.68,62.04,64,70.4,87.12,95.48,103.84,112.2,120.56,128.92
United Kingdom,15.4,17.49,19.58,21.67,23.76,25.85,27.83,29.92,32.01,34.1,40.04,45.98,47.2,51.92,63.8,69.74,75.68,81.62,87.56,93.5
Cambodia,11.33,17.6,23.87,30.14,36.41,42.68,48.95,55.11,61.38,67.65,80.52,93.39,96.6,106.26,132,144.87,157.74,170.61,183.48,196.35
China,10.89,17.6,24.31,30.91,37.62,44.33,50.93,57.64,64.35,71.06,84.37,97.68,100.9,110.99,137.61,150.92,164.23,177.54,190.85,204.16
